DATE,Asset ID,EVENT / EPISODE TITLE,Event Type,Seg,IN (IST),OUT (IST),GLITCH TIMECODE,Comment,Duration(Approx) Auto detected,Break or Timout TimeCodes,MCR Slack format,
"January 25, 2025",,Liga Nacional Argentina: Boca Jrs vs. Quimsa,LIVE,A,19:20:12,19:54:20:27,,21:06:29,#VALUE!,,#N/A,
,,,,B,19:55:50:27,20:23:43:00,,21:15:45,#VALUE!,,#N/A,
,,,,C,20:25:43:00,20:29:36:28,,,#VALUE!,,#N/A,
,,,,D,20:31:36:28,20:32:59:02,,,,,#N/A,
,,,,E,20:34:59:02,20:54:00:29,,,,,#N/A,
,,,,F,20:55:30:29,21:30:03:22,21:03:00,,,,#N/A,
#VALUE!,,,,,,,,,,,,
"January 28, 2025",TDAEUR000027,Basquet EuroLeague - Paris Basketball vs. Real Madrid,Live,A,01:25:10,01:52:42,,,,,TDAEUR000027A - 00:00:00,
,,,,B,01:54:06,02:25:01,,,,,TDAEUR000027B - 00:00:00,
,,,,C,02:26:48,02:31:51,,,,,TDAEUR000027C - 00:00:00,
,,,,D,02:33:47,02:36:42,,,,,TDAEUR000027D - 00:00:00,
,,,,E,02:38:08,03:02:21,,,,,TDAEUR000027E - 00:00:00,
,,,,F,03:03:55,03:35:30,03:20:25,,,,TDAEUR000027F - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"January 28, 2025",TDAPAP000109,Puesta a Punto,Live,A,04:29:55,04:49:37,,,,,TDAPAP000109A - 00:00:00,
,,,,B,04:51:38,05:05:45,,,,,TDAPAP000109B - 00:00:00,
,,,,C,05:07:47,05:14:40,,,,,TDAPAP000109C - 00:00:00,
,,,,D,05:16:42,05:26:00,,,,,TDAPAP000109D - 00:00:00,
,,,,E,05:28:02,05:29:56,,,,,TDAPAP000109E - 00:00:00,
"January 28, 2025",TDATDA000110,Telemundo Deportes Al Día,,,,,,,,,,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
,,,Live,A,23:29:54,23:45:56,,,,,TDATDA000110A - 00:00:00,
,,,,B,23:47:57,23:56:44,,,,,TDATDA000110B - 00:00:00,
,,,,C,23:58:44,23:59:58,,,,,TDATDA000110C - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"January 29, 2025",TDAEUR000028,Basquet EuroLeague - Olympiacos vs. Barcelona,Live,A,00:40:05,01:05:07,,,,,TDAEUR000028A - 00:00:00,
,,,,B,01:06:30,01:32:01,,,,,TDAEUR000028B - 00:00:00,
,,,,C,01:33:58,01:39:03,,,,,TDAEUR000028C - 00:00:00,
,,,,D,01:41:02,01:42:37,,,,,TDAEUR000028D - 00:00:00,
,,,,E,01:44:46,02:11:05,,,,,TDAEUR000028E - 00:00:00,
,,,,,02:12:31,02:46:14,,,,,,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"January 29, 2025",TDABSK000016,FIBA Americas - Paisas vs. Astros,Record,A,05:59:49,06:29:24,,,,,TDABSK000016A - 00:00:00,
,,,,B,06:32:31,06:52:50,,,,,TDABSK000016B - 00:00:00,
,,,,C,06:53:02,06:56:22,,,,,TDABSK000016C - 00:00:00,
,,,,D,06:58:00,07:01:41,,,,,TDABSK000016D - 00:00:00,
,,,,E,07:06:06,07:26:31,,,,,TDABSK000016E - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"January 30, 2025",TDATDA000112,Telemundo Deportes Al Día,Live,A,23:29:55,23:46:32,,,,,TDATDA000112A - 00:00:00,
,,,,B,23:48:33,23:54:32,,,,,TDATDA000112B - 00:00:00,
,,,,C,23:56:36,23:59:57,,,,,TDATDA000112C - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"February 1, 2025",TDABKB000013,BKB #50 Miami,Live,A,06:30:06,06:44:36,,,,,TDABKB000013A - 00:00:00,
,,,,B,06:46:41,06:54:15,,,,,TDABKB000013B - 00:00:00,
,,,,C,06:56:00,07:15:44,,,,,TDABKB000013C - 00:00:00,
,,,,D,07:18:04,07:29:34,,,,,TDABKB000013D - 00:00:00,
,,,,E,07:31:32,07:35:23,,,,,TDABKB000013E - 00:00:00,
,,,,F,07:37:08,07:58:37,,,,,TDABKB000013F - 00:00:00,
,,,,G,08:00:33,08:07:27,,,,,TDABKB000013G - 00:00:00,
,,,,H,08:10:28,08:33:26,,,,,TDABKB000013H - 00:00:00,
,,,,I,08:36:27,09:00:48,,,,,TDABKB000013I - 00:00:00,
,,,,J,09:03:20,09:12:03,,,,,TDABKB000013J - 00:00:00,
,,,,K,09:15:27,09:38:41,,,,,TDABKB000013K - 00:00:00,
,,,,L,09:47:58,09:49:04,,,,,TDABKB000013L - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"February 2, 2025",TDABSK000022,Liga Nacional Argentina: Platense vs. Obras,Live,A,05:30:32,05:58:54,,,,,TDABSK000022A - 00:00:00,
,,,,B,05:59:54,06:26:48,,,,,TDABSK000022B - 00:00:00,
,,,,C,06:29:48,06:32:21,,,,,TDABSK000022C - 00:00:00,
,,,,D,06:35:23,06:37:09,,,,,TDABSK000022D - 00:00:00,
,,,,E,06:40:09,07:02:52,,,,,TDABSK000022E - 00:00:00,
,,,,F,07:03:57,07:34:09,,,,,TDABSK000022F - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
,TDABSK000017,FIBA Americas - Astros vs. Paisas,Live,A,05:29:59,05:58:06,,,,,TDABSK000017A - 00:00:00,
,,,,B,05:59:30,06:02:59,,,,,TDABSK000017B - 00:00:00,
,,,,C,06:03:20,06:08:58,,,,,TDABSK000017C - 00:00:00,
,,,,D,06:10:11,06:24:28,,,,,TDABSK000017D - 00:00:00,
,,,,E,06:25:47,06:28:29,,,,,TDABSK000017E - 00:00:00,
,,,,F,06:29:49,06:33:49,,,,,TDABSK000017F - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
,,,,G,06:45:45,06:51:25,,,,,TDABSK000017G - 00:00:00,
,,,,H,06:52:18,07:04:04,,,,,TDABSK000017H - 00:00:00,
,,,,U,07:05:21,07:09:33,,,,,TDABSK000017U - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"February 4, 2026",TDATDA000115,Telemundo Deportes Al Día,Live,A,23:29:54,23:45:49,,,,,TDATDA000115A - 00:00:00,
,,,,B,23:47:50,23:55:22,,,,,TDATDA000115B - 00:00:00,
,,,,C,23:57:23,00:00:08,,,,,TDATDA000115C - 00:00:00,
TOTAL DURATION: 00:00:00,,,,,,,,,,,,
"February 5, 2026",TDATDA000116,Telemundo Deportes Al Día,Live,A,23:29:55,23:43:34,,,,,TDATDA000116A - 00:00:00,
,,,,B,23:45:36,23:54:28,,,,,TDATDA000116B - 00:00:00,
,,,,C,23:56:29,23:59:44,,,,,TDATDA000116C - 00:00:00,
